Epoch,Loss
1,2.402754783630371
2,2.3932007551193237
3,2.25697523355484
4,2.174307942390442
5,2.056577146053314
6,2.0301434993743896
7,2.0207077860832214
8,1.933866173028946
9,1.9592586755752563
10,1.9012079536914825
